ID,age,gender,occupation,job_role,country,programming_language,contribution_or_not,used_or_not,rate_BlockSOP,interest_BlockSOP,workon_BlockSOP,difficulty_BlockSOP,enhance_motivation,reduce_leakage,stable_income_BlockSOP,inc_Trust_BlockSOP,Openness,Trust,Fairness,Transparency,Security
ID_0110,25-34,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,TRUE,Good,Interested,Possibly,Very Difficult,Strongly Disagree,Agree,Agree,Strongly Agree,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0111,18-24,Male,Academic or industrial researcher,Development,Japan (JPN),Java,TRUE,FALSE,Poor,Interested,Possibly,Average,Agree,Agree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0112,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Interested,Unlikely,Very Difficult,Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0113,18-24,Male,Industrial or freelance professional,Others,China (CHN),Python,TRUE,TRUE,Good,Interested,Definitely,Average,Agree,Strongly Agree,Disagree,Agree,Very Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,Very Satisfied
ID_0114,35-44,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Average,Interested,Unlikely,Average,Agree,Strongly Agree,Strongly Agree,Disagree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0115,35-44,Male,Industrial or freelance professional,Development,China (CHN),C/C++,TRUE,FALSE,Extremely Good,Interested,Definitely,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied
ID_0116,25-34,Male,Industrial or freelance professional,Development,China (CHN),JavaScript,TRUE,FALSE,Good,Extremely interested,Definitely,Very Difficult,Strongly Agree,Agree,Agree,Strongly Agree,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied
ID_0117,35-44,Male,Industrial or freelance professional,Development,Japan (JPN),Java,TRUE,TRUE,Extremely Good,Extremely interested,Definitely,Difficult,Agree,Strongly Agree,Disagree,Agree,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Very Satisfied
ID_0118,25-34,Male,Industrial or freelance professional,Development,United States (USA),C/C++,TRUE,TRUE,Average,Extremely interested,Definitely,Difficult,Neutral,Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Very Satisfied
ID_0119,Under 18,Male,Academic or industrial researcher,Development,China (CHN),JavaScript,TRUE,FALSE,Good,Interested,Definitely,Difficult,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Neutral,Very Satisfied
ID_0120,25-34,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Extremely Good,Not interested,Definitely,Easy,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0121,25-34,Male,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Good,Extremely uninterested,Definitely,Difficult,Agree,Strongly Agree,Agree,Strongly Agree,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0122,45 or older,Male,Industrial or freelance professional,Development,China (CHN),Java,TRUE,TRUE,Average,Interested,Possibly,Average,Agree,Agree,Agree,Strongly Agree,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0123,25-34,Male,Academic or industrial researcher,Development,China (CHN),Java,TRUE,TRUE,Good,Interested,Definitely,Average,Strongly Agree,Agree,Agree,Strongly Agree,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
ID_0124,25-34,Prefer not to say,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Definitely,Average,Agree,Agree,Strongly Agree,Strongly Agree,Very Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0125,25-34,Male,Industrial or freelance professional,Testing,Australia (AUS),Java,TRUE,TRUE,Extremely Good,Not interested,Definitely,Average,Strongly Agree,Disagree,Agree,Disagree,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
ID_0126,25-34,Female,Industrial or freelance professional,Development,China (CHN),Python,TRUE,TRUE,Extremely Good,Interested,Definitely,Difficult,Agree,Strongly Disagree,Agree,Agree,Neutral,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
ID_0127,35-44,Female,Industrial or freelance professional,Development,China (CHN),Java,FALSE,TRUE,Good,Extremely interested,Unlikely,Average,Agree,Agree,Agree,Strongly Agree,Neutral,Very Satisfied,Neutral,Very Satisfied,Very Satisfied
ID_0128,25-34,Male,Industrial or freelance professional,Others,Russia (RUS),C/C++,TRUE,TRUE,Extremely Good,Not interested,Definitely,Average,Agree,Disagree,Disagree,Agree,Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
